Generation,City Order,Distance,Fitness
59,[City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18)],417.294314,0.002396390
60,[City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18)],417.294314,0.002396390
61,[City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18)],417.294314,0.002396390
62,[City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18)],417.294314,0.002396390
63,[City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18)],417.294314,0.002396390
64,[City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18)],417.294314,0.002396390
65,[City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18)],417.294314,0.002396390
66,[City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18)],417.294314,0.002396390
67,[City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18)],417.294314,0.002396390
68,[City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18)],417.294314,0.002396390
69,[City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18)],417.294314,0.002396390
70,[City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18)],417.294314,0.002396390
71,[City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18)],416.128468,0.002403104
72,[City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18)],416.128468,0.002403104
73,[City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18)],416.128468,0.002403104
74,[City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18)],416.128468,0.002403104
75,[City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18)],416.128468,0.002403104
76,[City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18)],416.128468,0.002403104
77,[City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18)],416.128468,0.002403104
78,[City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18)],416.128468,0.002403104
79,[City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16)],416.128468,0.002403104
